plan_id,experiment,case_id,provider,mode,group,actor_state,cache_state,start_band,language,device,network,role,speed,register,duration_s,resolution,fps,script_hash,audio_hash,reference_hash,consent_id,expected,actual,status
X1-030,X1,external-browser,WeChat,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-031,X1,same-device,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-032,X1,cancel-retry,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-033,X1,duplicate-callback,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-034,X1,invalid-state,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-035,X1,network-failure,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-036,X1,external-browser,Google,,,,,,zh-Hans,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-037,X1,same-device,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-038,X1,cancel-retry,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-039,X1,duplicate-callback,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-040,X1,invalid-state,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-041,X1,network-failure,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-042,X1,external-browser,Google,,,,,,id,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-043,X1,same-device,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-044,X1,cancel-retry,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-045,X1,duplicate-callback,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-046,X1,invalid-state,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-047,X1,network-failure,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-048,X1,external-browser,Google,,,,,,ja,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-049,X1,same-device,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-050,X1,cancel-retry,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-051,X1,duplicate-callback,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-052,X1,invalid-state,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-053,X1,network-failure,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-054,X1,external-browser,Google,,,,,,ko,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-055,X1,same-device,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-056,X1,cancel-retry,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-057,X1,duplicate-callback,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-058,X1,invalid-state,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-059,X1,network-failure,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-060,X1,external-browser,Google,,,,,,hi,iPhone-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-061,X1,same-device,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-062,X1,cancel-retry,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-063,X1,duplicate-callback,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-064,X1,invalid-state,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-065,X1,network-failure,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-066,X1,external-browser,WeChat,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-067,X1,same-device,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-068,X1,cancel-retry,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-069,X1,duplicate-callback,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-070,X1,invalid-state,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-071,X1,network-failure,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-072,X1,external-browser,WeChat,,,,,,id,iPhone-Safari,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-073,X1,same-device,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-074,X1,cancel-retry,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-075,X1,duplicate-callback,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-076,X1,invalid-state,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-077,X1,network-failure,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-078,X1,external-browser,WeChat,,,,,,ja,iPhone-Safari,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-079,X1,same-device,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-080,X1,cancel-retry,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-081,X1,duplicate-callback,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-082,X1,invalid-state,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-083,X1,network-failure,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-084,X1,external-browser,WeChat,,,,,,ko,iPhone-Safari,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-085,X1,same-device,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-086,X1,cancel-retry,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-087,X1,duplicate-callback,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-088,X1,invalid-state,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-089,X1,network-failure,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-090,X1,external-browser,WeChat,,,,,,hi,iPhone-Safari,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-091,X1,same-device,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-092,X1,cancel-retry,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-093,X1,duplicate-callback,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-094,X1,invalid-state,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-095,X1,network-failure,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-096,X1,external-browser,Google,,,,,,zh-Hans,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-097,X1,same-device,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-098,X1,cancel-retry,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-099,X1,duplicate-callback,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-100,X1,invalid-state,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-101,X1,network-failure,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-102,X1,external-browser,Google,,,,,,id,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-103,X1,same-device,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-104,X1,cancel-retry,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-105,X1,duplicate-callback,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-106,X1,invalid-state,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-107,X1,network-failure,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-108,X1,external-browser,Google,,,,,,ja,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-109,X1,same-device,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-110,X1,cancel-retry,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-111,X1,duplicate-callback,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-112,X1,invalid-state,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-113,X1,network-failure,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-114,X1,external-browser,Google,,,,,,ko,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-115,X1,same-device,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-116,X1,cancel-retry,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-117,X1,duplicate-callback,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-118,X1,invalid-state,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-119,X1,network-failure,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-120,X1,external-browser,Google,,,,,,hi,iPhone-Safari,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-121,X1,same-device,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-122,X1,cancel-retry,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-123,X1,duplicate-callback,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-124,X1,invalid-state,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-125,X1,network-failure,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-126,X1,external-browser,WeChat,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-127,X1,same-device,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-128,X1,cancel-retry,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-129,X1,duplicate-callback,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-130,X1,invalid-state,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-131,X1,network-failure,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-132,X1,external-browser,WeChat,,,,,,id,Android-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-133,X1,same-device,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-134,X1,cancel-retry,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-135,X1,duplicate-callback,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-136,X1,invalid-state,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-137,X1,network-failure,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-138,X1,external-browser,WeChat,,,,,,ja,Android-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-139,X1,same-device,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-140,X1,cancel-retry,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-141,X1,duplicate-callback,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-142,X1,invalid-state,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-143,X1,network-failure,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-144,X1,external-browser,WeChat,,,,,,ko,Android-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-145,X1,same-device,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-146,X1,cancel-retry,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-147,X1,duplicate-callback,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-148,X1,invalid-state,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-149,X1,network-failure,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-150,X1,external-browser,WeChat,,,,,,hi,Android-WeChat,,,,,,,,,,,,不适用（微信入口无Google外部接续）,未测,planned
X1-151,X1,same-device,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-152,X1,cancel-retry,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-153,X1,duplicate-callback,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-154,X1,invalid-state,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-155,X1,network-failure,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-156,X1,external-browser,Google,,,,,,zh-Hans,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-157,X1,same-device,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-158,X1,cancel-retry,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-159,X1,duplicate-callback,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-160,X1,invalid-state,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-161,X1,network-failure,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-162,X1,external-browser,Google,,,,,,id,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-163,X1,same-device,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-164,X1,cancel-retry,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-165,X1,duplicate-callback,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-166,X1,invalid-state,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-167,X1,network-failure,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-168,X1,external-browser,Google,,,,,,ja,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-169,X1,same-device,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-170,X1,cancel-retry,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-171,X1,duplicate-callback,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-172,X1,invalid-state,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-173,X1,network-failure,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-174,X1,external-browser,Google,,,,,,ko,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-175,X1,same-device,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-176,X1,cancel-retry,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-177,X1,duplicate-callback,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-178,X1,invalid-state,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-179,X1,network-failure,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
X1-180,X1,external-browser,Google,,,,,,hi,Android-WeChat,,,,,,,,,,,,同机授权准确接续；失败保持未登录；实录与回调证据,未测,planned
